taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Abranda jeanae	1st	13.85	9.78	1.68	41.04
Abranda jeanae	1st	13.17	8.97	1.81	31.09
Abranda jeanae	1st	11.61	7.89	1.58	21.06
Abranda jeanae	1st	11.84	7.89	1.64	22.07
Scissulina dispar	1st	21.77	14.13	3.18	197.64
Scissulina dispar	1st	20.07	12.76	2.78	151.23
Scissulina dispar	1st	19.18	12.22	3.00	125.02
Scissulina dispar	1st	17.38	11.16	2.68	111.71
Scissulina dispar	1st	14.62	9.25	2.09	58.27
Scissulina dispar	1st	15.84	10.13	2.23	68.77
Scissulina dispar	1st	14.88	10.19	2.21	63.02
Scissulina dispar	1st	15.46	10.04	2.15	64.70
Scissulina dispar	1st	14.65	9.25	2.12	54.29
Scissulina dispar	1st	12.86	8.44	1.82	35.48
Scissulina dispar	1st	15.05	0.00	2.23	76.97
Scissulina dispar	1st	16.54	12.14	2.31	98.74
Abranda jeanae	1st	21.80	15.86	3.10	223.76
Abranda jeanae	1st	19.98	13.84	2.52	133.22
Abranda jeanae	1st	19.68	14.08	2.61	146.67
Abranda jeanae	1st	18.75	13.47	2.59	126.10
Abranda jeanae	1st	18.91	13.01	2.56	143.84
Abranda jeanae	1st	19.24	13.08	2.58	117.80
Abranda jeanae	1st	15.23	10.71	1.81	57.54
Abranda jeanae	1st	15.67	10.93	2.00	61.16
Abranda jeanae	1st	20.48	14.62	2.78	155.88
Abranda jeanae	1st	19.19	13.91	2.56	128.57
Abranda jeanae	1st	16.05	11.73	2.19	67.44
Abranda jeanae	1st	12.34	8.41	1.49	28.54
Scissulina dispar	1st	18.85	12.26	2.57	174.63
Scissulina dispar	1st	15.81	10.69	2.35	79.19
Scissulina dispar	1st	11.50	6.96	1.60	28.16
Scissulina dispar	1st	11.73	7.46	1.88	30.31
Scissulina dispar	1st	10.19	6.82	1.43	17.56
Scissulina dispar	1st	7.84	4.96	1.12	6.78
Scissulina dispar	1st	7.95	4.99	1.07	7.34
Scissulina dispar	1st	7.63	4.94	0.98	4.96
Abranda jeanae	1st	23.29	16.42	3.19	252.09
Abranda jeanae	1st	22.38	16.12	3.10	218.91
Abranda jeanae	1st	21.94	15.52	3.38	206.95
Abranda jeanae	1st	20.51	14.87	2.90	165.85
Abranda jeanae	1st	18.96	14.14	2.70	152.20
Abranda jeanae	1st	18.95	13.34	2.37	123.63
Abranda jeanae	1st	18.24	12.80	2.48	104.54
Abranda jeanae	1st	17.57	12.20	2.51	92.07
Abranda jeanae	1st	15.10	10.54	1.88	56.29
Abranda jeanae	1st	15.51	11.05	1.99	56.56
Abranda jeanae	1st	12.36	8.54	1.48	24.06
Abranda jeanae	1st	10.15	7.04	1.06	13.66
Abranda jeanae	1st	14.53	10.00	2.09	108.00
Abranda jeanae	1st	21.52	14.90	2.61	393.00
Exotica clathrata	1st	11.64	6.09	1.58	38.00
Abranda jeanae	1st	18.73	12.78	2.35	219.00
Abranda jeanae	1st	17.78	12.83	2.45	221.00
Abranda jeanae	1st	16.44	11.61	2.21	151.00
Abranda jeanae	1st	16.22	11.09	2.29	155.00
Abranda jeanae	1st	17.04	11.75	2.12	164.00
Abranda jeanae	1st	19.99	14.00	2.82	133.00
Abranda jeanae	1st	16.45	11.39	2.31	142.00
Abranda jeanae	1st	22.74	16.10	3.41	150.00
Abranda jeanae	1st	21.64	15.40	3.22	387.00
Pinguitellina robusta	1st	9.11	7.35	2.19	90.00
Pinguitellina robusta	1st	12.61	10.19	2.93	208.68
Pinguitellina robusta	1st	9.78	8.27	2.57	105.35
Pinguitellina robusta	1st	9.82	8.19	2.70	105.58
Abranda jeanae	1st	13.92	9.80	1.80	78.78
Abranda jeanae	1st	13.03	9.45	1.89	58.91
Abranda jeanae	1st	15.47	10.90	2.10	115.57
Exotica clathrata	1st	8.06	4.75	1.19	15.42
Abranda jeanae	1st	14.59	14.49	2.85	301.29
Abranda jeanae	1st	16.42	11.72	2.34	146.90
Pinguitellina robusta	1st	11.39	9.71	2.66	172.46
Abranda jeanae	1st	15.60	11.07	1.89	120.54
Abranda jeanae	1st	14.74	10.46	1.87	111.41
Abranda jeanae	1st	14.87	10.66	1.96	108.54
Exotica clathrata	1st	8.70	4.66	1.24	19.00
Abranda jeanae	1st	18.27	12.57	2.58	206.03
Abranda jeanae	1st	17.18	13.10	2.39	240.34
Abranda jeanae	1st	15.19	10.72	1.82	108.92
Abranda jeanae	1st	17.69	12.53	2.66	204.30
Exotica clathrata	1st	7.80	4.69	1.34	12.04
Pinguitellina robusta	1st	11.45	9.64	2.62	187.20
Pinguitellina robusta	1st	11.55	9.01	2.78	183.29
Exotica clathrata	1st	10.92	6.45	1.44	47.00
Exotica clathrata	1st	7.41	3.96	1.03	11.00
Pinguitellina robusta	1st	11.22	9.31	2.70	149.00
Pinguitellina robusta	1st	12.11	10.44	2.88	217.00
Pinguitellina robusta	1st	11.06	8.78	2.58	140.00
Pinguitellina robusta	1st	9.84	8.34	2.76	103.00
Pinguitellina robusta	1st	9.71	8.17	2.45	94.00
Pinguitellina robusta	1st	8.54	6.62	1.86	54.00
Pinguitellina robusta	1st	9.14	7.36	1.68	59.00
Abranda jeanae	1st	13.13	8.85	1.91	69.00
Abranda jeanae	1st	10.67	7.33	1.44	33.00
Abranda jeanae	1st	11.66	7.88	1.63	47.00
Abranda jeanae	1st	11.91	8.07	1.61	46.00
Abranda jeanae	1st	11.96	8.35	1.74	55.00
Abranda jeanae	1st	12.83	8.90	2.22	68.00
Abranda jeanae	1st	10.43	7.29	1.24	30.00
Abranda jeanae	1st	8.38	5.71	1.22	16.00
Abranda jeanae	1st	13.92	9.67	1.69	88.00
Abranda jeanae	1st	12.13	8.28	1.72	49.00
Abranda jeanae	1st	11.26	7.38	1.49	38.00
Abranda jeanae	1st	14.03	9.48	1.86	88.00
Abranda jeanae	1st	13.14	9.08	1.79	74.00
Abranda jeanae	1st	13.78	9.65	1.93	81.00
Abranda jeanae	1st	10.96	7.84	1.78	41.00
Abranda jeanae	1st	11.85	7.40	1.70	50.00
Abranda jeanae	1st	11.08	7.92	1.64	39.00
Abranda jeanae	1st	9.73	6.67	1.21	26.00
Abranda jeanae	1st	8.36	5.71	1.20	14.00
Abranda jeanae	1st	7.16	4.86	0.88	9.00
Abranda jeanae	1st	12.30	8.57	1.57	60.00
Abranda jeanae	1st	8.45	5.66	1.01	16.00
Abranda jeanae	1st	10.81	7.94	1.54	26.00
Abranda jeanae	1st	16.28	10.75	2.01	133.00
Abranda jeanae	1st	14.49	10.95	1.79	100.00
Abranda jeanae	1st	12.52	9.37	1.60	74.00
Abranda jeanae	1st	12.11	8.82	1.49	68.00
Abranda jeanae	1st	16.96	11.79	2.22	184.00
Abranda jeanae	1st	14.54	9.93	1.62	98.00
Abranda jeanae	1st	13.64	9.60	1.61	83.00
Abranda jeanae	1st	17.96	12.63	2.38	214.00
Abranda jeanae	1st	14.14	9.56	1.70	88.00
Abranda jeanae	1st	13.32	9.10	1.77	70.00
Abranda jeanae	1st	11.63	7.77	1.63	48.00
Abranda jeanae	1st	14.36	10.06	1.95	95.00
Abranda jeanae	1st	14.07	9.56	1.61	83.00
Abranda jeanae	1st	12.85	8.80	1.77	68.00
Abranda jeanae	1st	10.24	7.20	1.13	30.00
Abranda jeanae	1st	10.94	7.26	1.52	36.00
Abranda jeanae	1st	6.29	4.56	0.85	6.00
Pinguitellina robusta	1st	8.09	7.08	1.84	66.00
Pinguitellina robusta	1st	10.76	9.00	2.89	154.00
Pinguitellina robusta	1st	9.19	7.46	1.80	87.00
Pinguitellina robusta	1st	9.56	8.08	2.14	86.00
Abranda jeanae	1st	18.49	12.97	2.80	216.00
Abranda jeanae	1st	15.20	10.67	2.24	123.00
Abranda jeanae	1st	13.39	9.05	1.59	67.00
Abranda jeanae	1st	16.30	11.82	2.44	142.00
Abranda jeanae	1st	14.35	9.68	1.77	88.00
Abranda jeanae	1st	11.90	8.13	1.59	51.00
Abranda jeanae	1st	12.03	8.77	1.82	53.00
Abranda jeanae	1st	9.98	5.97	1.22	28.00
Abranda jeanae	1st	14.13	9.64	1.91	80.00
Abranda jeanae	1st	12.27	8.67	1.60	55.00
Abranda jeanae	1st	14.76	10.72	1.93	127.00
Abranda jeanae	1st	14.26	9.37	2.02	102.00
Abranda jeanae	1st	12.92	8.79	1.80	66.00
Abranda jeanae	1st	14.06	9.80	1.72	96.00
Abranda jeanae	1st	16.30	11.01	2.08	131.00
Abranda jeanae	1st	14.97	10.25	1.69	113.00
Abranda jeanae	1st	13.81	9.68	1.89	84.00
Abranda jeanae	1st	14.56	9.98	2.05	102.00
Abranda jeanae	1st	13.81	10.71	1.78	85.00
Scissulina dispar	1st	14.35	9.40	2.21	144.00
Exotica clathrata	1st	11.21	6.54	1.65	62.00
Pinguitellina robusta	1st	9.03	7.64	2.14	93.00
Callista phasianella	1st	6.55	5.53	1.39	43.00
Ctena bella	1st	6.40	5.73	1.29	35.00
Abranda jeanae	1st	13.19	9.79	1.94	72.00
Abranda jeanae	1st	8.73	7.77	2.00	80.00
Abranda jeanae	1st	14.39	10.06	1.66	82.00
Abranda jeanae	1st	8.66	5.08	1.27	12.00
Abranda jeanae	1st	9.21	4.78	1.18	19.00
Abranda jeanae	1st	10.38	5.77	1.37	31.00
Abranda jeanae	1st	10.96	5.99	1.43	43.00
Abranda jeanae	1st	12.12	8.58	1.48	55.07
Abranda jeanae	1st	12.85	8.68	1.76	35.89
Abranda jeanae	1st	10.41	8.67	2.50	124.00
Abranda jeanae	1st	17.81	12.18	2.27	182.00
Abranda jeanae	1st	18.25	12.44	2.54	221.00
Abranda jeanae	1st	9.94	6.75	1.08	30.00
Abranda jeanae	1st	17.29	11.76	2.44	188.00
Abranda jeanae	1st	18.90	13.26	2.48	239.00
Abranda jeanae	1st	17.93	12.18	2.27	192.00
Abranda jeanae	1st	12.78	8.72	1.48	56.00
Abranda jeanae	1st	17.21	11.97	2.48	157.00
Abranda jeanae	1st	12.81	9.03	1.08	62.00
Abranda jeanae	1st	12.18	8.10	1.62	47.00
Abranda jeanae	1st	10.82	7.27	1.20	34.00
Abranda jeanae	1st	13.77	9.72	1.82	91.00
Abranda jeanae	1st	18.16	12.67	2.47	201.00
Abranda jeanae	1st	12.10	8.13	1.60	48.00
Abranda jeanae	1st	11.18	7.58	1.48	36.00
Abranda jeanae	1st	15.63	11.01	2.14	134.00
Abranda jeanae	1st	9.82	6.63	1.28	23.00
Abranda jeanae	1st	7.75	5.07	0.98	11.00
Abranda jeanae	1st	12.37	8.33	1.76	59.00
Abranda jeanae	1st	15.45	10.57	1.84	99.00
Abranda jeanae	1st	22.28	16.38	3.17	500.00
Abranda jeanae	1st	18.02	12.60	2.51	212.00
Abranda jeanae	1st	18.08	12.22	2.35	182.00
Abranda jeanae	1st	19.62	12.34	2.99	259.00
Abranda jeanae	1st	18.32	12.22	2.30	189.00
Abranda jeanae	1st	12.00	8.26	1.70	46.00
Abranda jeanae	1st	12.25	8.44	1.49	52.00
Abranda jeanae	1st	19.26	13.38	2.68	265.00
Abranda jeanae	1st	18.63	13.12	2.85	203.00
Abranda jeanae	1st	15.70	11.08	2.02	138.00
Abranda jeanae	1st	9.24	7.08	1.27	29.00
Abranda jeanae	1st	17.63	12.12	2.60	179.00
Abranda jeanae	1st	11.28	7.95	1.68	42.00
Abranda jeanae	1st	16.60	11.28	1.83	141.00
Abranda jeanae	1st	17.73	12.25	2.44	197.00
Abranda jeanae	1st	19.52	13.84	2.63	272.00
Abranda jeanae	1st	21.97	15.01	2.92	345.00
Abranda jeanae	1st	21.56	15.28	3.02	407.00
Abranda jeanae	1st	22.21	15.30	3.00	399.00
Exotica clathrata	1st	11.39	6.12	1.36	47.00
Exotica clathrata	1st	11.33	6.09	1.39	43.00
Abranda jeanae	1st	18.41	12.79	2.63	201.00
Abranda jeanae	1st	12.48	8.53	1.67	53.00
Abranda jeanae	1st	17.83	12.18	2.64	176.00
Abranda jeanae	1st	16.48	11.24	2.09	142.00
Abranda jeanae	1st	17.35	11.74	2.47	155.00
Abranda jeanae	1st	15.02	10.33	2.01	106.00
Abranda jeanae	1st	19.80	13.73	2.99	284.00
Abranda jeanae	1st	15.19	10.77	1.92	115.00
Abranda jeanae	1st	17.66	11.93	2.42	177.00
Abranda jeanae	1st	16.65	11.75	2.59	160.00
Abranda jeanae	1st	14.05	9.51	1.96	80.00
Abranda jeanae	1st	16.91	11.74	2.31	167.00
Abranda jeanae	1st	13.91	9.49	1.89	77.00
Abranda jeanae	1st	15.11	10.46	2.10	107.00
Abranda jeanae	1st	17.90	12.25	2.25	174.00
Abranda jeanae	1st	14.70	10.32	2.00	94.00
Abranda jeanae	1st	16.37	11.48	2.29	142.00
Abranda jeanae	1st	14.48	10.35	2.06	92.00
Abranda jeanae	1st	17.28	11.28	2.20	169.00
Abranda jeanae	1st	17.36	12.34	2.56	188.00
Abranda jeanae	1st	16.81	12.17	2.43	159.00
Abranda jeanae	1st	10.34	7.04	1.26	33.00
Abranda jeanae	1st	17.42	12.10	2.51	165.00
Abranda jeanae	1st	13.95	9.71	1.39	96.00
Abranda jeanae	1st	15.15	10.18	2.13	78.00
Abranda jeanae	1st	17.72	9.00	1.84	117.00
Abranda jeanae	1st	12.16	8.17	1.50	45.00
Abranda jeanae	1st	11.68	8.18	1.56	42.00
Abranda jeanae	1st	14.59	10.17	1.91	90.00
Abranda jeanae	1st	17.07	11.32	2.24	155.00
Abranda jeanae	1st	16.42	11.97	2.40	140.00
Abranda jeanae	1st	17.17	11.61	2.36	151.00
Abranda jeanae	1st	15.45	10.91	2.05	109.00
Abranda jeanae	1st	19.37	13.36	2.76	205.00
Abranda jeanae	1st	16.52	11.51	2.31	141.00
Abranda jeanae	1st	16.68	11.76	2.51	168.00
Abranda jeanae	1st	16.59	11.43	2.13	136.00
Abranda jeanae	1st	15.92	11.62	2.19	118.00
Abranda jeanae	1st	16.64	11.68	2.34	149.00
Abranda jeanae	1st	15.64	10.25	2.10	107.00
Abranda jeanae	1st	12.39	8.71	1.70	48.00
Abranda jeanae	1st	13.23	9.82	1.87	84.00
Pinguitellina robusta	1st	7.68	5.56	1.18	32.00
Exotica clathrata	1st	9.29	5.08	1.51	17.00
Exotica clathrata	1st	7.65	4.53	0.98	11.00
Wallucina fijiensis	1st	5.83	6.27	2.47	87.00
Abranda jeanae	1st	15.77	10.82	2.28	119.00
Abranda jeanae	1st	15.60	11.21	2.32	126.00
Abranda jeanae	1st	14.90	10.61	2.06	107.00
Abranda jeanae	1st	15.62	10.92	2.07	117.00
Abranda jeanae	1st	17.99	12.62	2.24	183.00
Abranda jeanae	1st	16.83	11.11	2.45	164.00
Abranda jeanae	1st	16.19	11.47	2.25	126.00
Abranda jeanae	1st	15.38	10.82	1.84	106.00
Abranda jeanae	1st	17.04	11.98	2.13	167.00
Abranda jeanae	1st	17.75	12.55	2.53	195.00
Abranda jeanae	1st	18.19	12.33	2.23	184.00
Abranda jeanae	1st	14.65	10.23	1.80	87.00
Abranda jeanae	1st	16.75	11.33	2.48	143.00
Abranda jeanae	1st	16.68	11.39	2.10	145.00
Abranda jeanae	1st	18.33	12.25	2.31	182.00
Abranda jeanae	1st	14.90	10.74	2.02	107.00
Abranda jeanae	1st	9.63	6.78	1.30	25.00
Abranda jeanae	1st	15.14	10.79	2.19	111.00
Abranda jeanae	1st	16.68	11.36	2.22	141.00
Abranda jeanae	1st	15.35	10.71	1.90	114.00
Abranda jeanae	1st	17.65	12.13	2.25	181.00
Abranda jeanae	1st	15.53	10.75	2.16	126.00
Abranda jeanae	1st	17.38	11.85	2.45	175.00
Abranda jeanae	1st	19.03	13.20	2.71	209.00
Abranda jeanae	1st	20.18	14.36	2.84	306.00
Abranda jeanae	1st	14.23	10.09	1.87	93.00
Abranda jeanae	1st	14.68	9.29	1.85	77.00
Pinguitellina robusta	1st	6.69	5.72	1.58	33.00
Abranda jeanae	1st	17.67	12.22	2.31	173.43
Abranda jeanae	1st	17.88	12.02	2.44	182.00
Abranda jeanae	1st	17.20	11.65	2.39	178.00
Abranda jeanae	1st	17.37	12.06	2.07	176.00
Abranda jeanae	1st	21.64	15.40	3.05	415.00
Abranda jeanae	1st	18.78	13.02	2.65	244.00
Abranda jeanae	1st	19.81	13.53	2.79	283.00
Abranda jeanae	1st	17.63	11.97	2.47	165.00
Abranda jeanae	1st	17.94	12.43	2.46	188.00
Abranda jeanae	1st	16.42	11.59	2.12	139.00
Abranda jeanae	1st	13.91	9.51	1.90	92.00
Abranda jeanae	1st	17.72	11.76	2.39	159.00
Abranda jeanae	1st	17.70	12.35	2.43	178.00
Abranda jeanae	1st	17.09	11.87	2.20	162.00
Abranda jeanae	1st	16.57	11.41	2.29	146.00
Abranda jeanae	1st	17.46	11.96	2.68	166.00
Abranda jeanae	1st	18.75	12.81	2.51	196.00
Abranda jeanae	1st	17.16	11.95	1.94	152.00
Abranda jeanae	1st	15.69	10.97	2.40	122.00
Abranda jeanae	1st	5.66	3.95	0.86	6.00
Exotica clathrata	1st	5.92	3.29	0.91	3.15
Scissulina dispar	1st	5.63	3.37	0.21	0.48
Abranda jeanae	1st	4.98	3.22	0.75	5.00
Ambuscintilla praemium	1st	4.23	3.03	0.49	3.00
Exotica clathrata	1st	4.86	2.65	0.71	0.00
Exotica clathrata	1st	7.19	4.01	1.15	14.00
Abranda jeanae	1st	5.33	3.85	0.88	5.00
Scissulina dispar	1st	7.21	4.09	1.08	0.00
Exotica clathrata	1st	5.85	2.78	0.96	6.00
Abranda jeanae	1st	7.07	5.23	1.35	12.00
Abranda jeanae	1st	21.52	15.31	2.94	175.63
Abranda jeanae	1st	23.01	16.53	3.31	278.55
Abranda jeanae	1st	21.52	15.19	3.19	208.96
Abranda jeanae	1st	21.54	15.16	3.02	190.89
Abranda jeanae	1st	18.15	13.10	2.47	103.43
Abranda jeanae	1st	19.67	14.10	2.53	148.62
Abranda jeanae	1st	17.83	12.76	2.51	107.89
Abranda jeanae	1st	18.48	13.11	2.43	107.97
Abranda jeanae	1st	16.62	11.82	2.37	69.92
Abranda jeanae	1st	17.24	11.90	2.07	78.28
Abranda jeanae	1st	16.82	11.97	2.10	77.75
Abranda jeanae	1st	15.56	10.97	2.03	75.15
Abranda jeanae	1st	22.60	15.76	3.29	235.67
Abranda jeanae	1st	21.94	15.64	2.85	239.04
Abranda jeanae	1st	20.84	14.78	2.78	165.96
Abranda jeanae	1st	22.04	15.97	3.16	198.65
Abranda jeanae	1st	20.72	14.81	2.80	160.31
Abranda jeanae	1st	19.93	13.90	2.72	174.21
Abranda jeanae	1st	20.33	14.42	2.77	166.01
Abranda jeanae	1st	18.40	13.38	2.49	121.25
Abranda jeanae	1st	16.49	12.24	2.21	81.18
Abranda jeanae	1st	17.41	12.52	2.22	81.71
Abranda jeanae	1st	11.65	8.16	1.37	20.20
Abranda jeanae	1st	15.01	10.35	2.27	57.19
Abranda jeanae	1st	18.29	12.78	2.54	100.61
Abranda jeanae	1st	10.54	7.33	1.36	15.27
Fragum fragum	1st	6.06	6.54	2.25	21.19
Ctena bella	1st	16.45	16.33	4.25	506.09
Fragum fragum	1st	7.77	8.65	2.84	46.05
Abranda jeanae	1st	12.20	8.45	1.61	27.06
Abranda jeanae	1st	16.30	11.47	2.30	70.59
Scissulina dispar	1st	14.97	9.77	2.16	68.59
Fragum fragum	1st	17.56	20.19	6.93	611.19
Ctena bella	1st	14.48	14.59	4.06	425.22
Ctena bella	1st	20.37	19.82	4.83	889.29
Abranda jeanae	1st	14.18	9.81	2.09	46.90
Fragum fragum	1st	18.05	21.27	6.88	579.98
Ctena bella	1st	15.33	14.50	3.85	429.60
Abranda jeanae	1st	14.21	9.46	1.97	48.88
Fragum fragum	1st	15.82	18.70	6.19	432.98
Ctena bella	1st	20.03	19.57	5.61	915.96
Ctena bella	3rd	14.09	13.27	2.98	247.10
Fragum fragum	3rd	6.58	6.56	2.05	27.04
Ctena bella	3rd	15.53	15.11	3.74	435.21
Fragum fragum	3rd	8.99	10.24	3.25	75.83
Fragum fragum	3rd	15.80	17.90	6.54	495.21
Fragum fragum	1st	5.63	6.25	2.13	22.63
Fragum fragum	1st	8.58	9.39	3.01	59.54
Fragum fragum	2nd	10.75	12.55	4.22	176.29
Fragum fragum	2nd	9.97	10.54	3.44	96.82
Fragum fragum	2nd	12.16	13.25	4.07	172.22
Fragum fragum	3rd	9.43	11.42	3.69	111.85
Ctena bella	3rd	18.72	18.58	4.33	750.85
Fragum fragum	3rd	4.98	5.31	1.57	11.81
Ctena bella	3rd	7.83	6.92	1.38	30.75
Scissulina dispar	2nd	17.50	11.68	2.01	94.38
Scissulina dispar	2nd	12.20	7.61	1.61	29.33
Scissulina dispar	2nd	13.01	8.80	1.76	40.12
Ctena bella	3rd	9.05	8.63	2.08	79.36
Ctena bella	3rd	8.77	7.84	1.85	68.95
Fragum fragum	3rd	5.63	6.09	1.94	20.04
Fragum fragum	1st	7.44	8.51	3.09	47.23
Fragum fragum	1st	8.24	9.52	3.26	59.92
Fragum fragum	1st	5.60	6.02	2.09	18.08
Fragum fragum	1st	14.19	15.36	5.12	266.67
Ctena bella	2nd	9.66	8.97	2.07	67.32
Fragum fragum	2nd	6.01	6.76	2.17	28.10
Fragum fragum	2nd	11.40	12.87	3.97	122.88
Ctena bella	2nd	13.92	13.33	3.58	275.33
Fragum fragum	3rd	10.97	12.94	4.23	126.65
Ctena bella	3rd	11.72	10.92	2.80	168.24
Fragum fragum	1st	10.95	12.55	4.09	134.45
Fragum fragum	1st	7.41	7.90	2.63	42.75
Fragum fragum	1st	7.32	8.29	2.67	46.96
Ctena bella	1st	7.15	6.68	1.61	32.96
Abranda jeanae	1st	16.99	12.44	2.41	87.03
Abranda jeanae	1st	6.78	5.09	0.88	3.87
Fragum fragum	3rd	7.05	7.36	2.52	30.41
Fragum fragum	3rd	12.16	14.33	4.59	233.43
Fragum fragum	3rd	8.11	9.04	3.10	48.60
Fragum fragum	3rd	5.22	5.84	1.95	15.77
Fragum fragum	3rd	22.73	27.55	9.31	1553.21
Fragum fragum	3rd	5.69	6.19	2.04	\N
Fragum fragum	3rd	9.78	12.05	3.75	\N
Fragum fragum	3rd	19.95	24.15	9.15	\N
Fragum fragum	3rd	7.68	8.35	2.70	\N
Fragum fragum	3rd	4.99	5.45	1.52	\N
Fragum fragum	3rd	5.46	6.15	2.04	\N
Fragum fragum	3rd	6.12	6.48	1.90	\N
Ctena bella	3rd	6.59	7.28	1.55	\N
Ctena bella	3rd	8.34	7.43	1.60	\N
Ctena bella	3rd	7.50	6.64	1.63	\N
Ctena bella	3rd	8.05	8.67	1.85	\N
Ctena bella	3rd	10.81	10.80	2.80	\N
Pinguitellina robusta	3rd	11.92	10.20	2.91	\N
Pinguitellina robusta	3rd	11.33	9.55	2.96	\N
Pinguitellina robusta	3rd	11.09	9.24	2.55	\N
Pinguitellina robusta	3rd	10.09	8.16	2.43	\N
Pinguitellina robusta	3rd	11.78	10.19	2.83	\N
Abranda jeanae	3rd	17.50	12.01	2.37	\N
Abranda jeanae	3rd	14.25	10.07	1.92	\N
Abranda jeanae	3rd	18.18	12.76	2.77	\N
Abranda jeanae	3rd	19.04	12.66	2.62	\N
Abranda jeanae	3rd	14.88	10.16	2.04	\N
Scissulina dispar	3rd	11.40	7.45	1.49	\N
Scissulina dispar	3rd	10.21	6.47	1.30	\N
Scissulina dispar	3rd	13.31	8.20	1.63	\N
Scissulina dispar	3rd	12.62	7.69	1.57	\N
Scissulina dispar	3rd	10.92	6.67	1.39	\N
Scissulina dispar	3rd	10.11	6.74	1.33	\N
Scissulina dispar	3rd	10.02	6.30	1.27	\N
Scissulina dispar	3rd	9.37	5.69	1.18	\N
Pinguitellina robusta	3rd	10.50	8.79	2.31	\N
Pinguitellina robusta	3rd	9.14	7.68	2.04	\N
Pinguitellina robusta	3rd	10.23	8.89	2.47	\N
Pinguitellina robusta	3rd	10.18	8.74	2.33	\N
Pinguitellina robusta	3rd	12.35	10.62	3.14	\N
Ctena bella	1st	9.88	9.07	2.14	89.40
Wallucina fijiensis	1st	6.18	6.93	3.20	\N
Pinguitellina robusta	1st	11.04	9.83	2.96	93.91
Pinguitellina robusta	1st	10.60	8.63	2.60	67.68
Pinguitellina robusta	1st	11.34	9.19	2.90	88.09
Pinguitellina robusta	1st	7.39	6.01	1.41	19.32
Pinguitellina robusta	1st	6.93	5.56	1.52	17.29
Pinguitellina robusta	1st	9.65	7.79	2.40	66.87
Pinguitellina robusta	1st	9.15	7.55	2.14	43.09
Pinguitellina robusta	1st	9.88	8.04	2.56	61.26
Pinguitellina robusta	1st	7.61	6.04	1.79	28.46
Pinguitellina robusta	1st	5.83	4.77	1.44	14.38
Pinguitellina robusta	1st	8.60	6.85	2.04	38.23
Pinguitellina robusta	1st	9.12	7.28	1.96	51.14
Pinguitellina robusta	1st	10.86	9.07	2.77	77.93
Pinguitellina robusta	1st	10.01	8.23	2.65	66.79
Pinguitellina robusta	1st	7.15	5.85	1.66	19.94
Pinguitellina robusta	1st	8.08	6.58	2.05	35.00
Pinguitellina robusta	1st	7.09	5.93	1.59	26.12
Pinguitellina robusta	1st	9.15	7.66	2.42	53.61
Pinguitellina robusta	1st	8.91	7.31	2.11	36.80
Pinguitellina robusta	1st	7.53	6.50	2.15	37.55
Fragum fragum	1st	14.38	12.03	4.99	214.84
Fragum fragum	1st	9.52	8.45	3.28	56.00
Fragum fragum	1st	14.41	12.47	4.60	189.35
Fragum fragum	1st	9.29	8.12	3.11	52.32
Fragum fragum	1st	11.50	10.15	3.89	100.72
Fragum fragum	1st	11.63	11.16	4.26	130.74
Fragum fragum	1st	5.65	5.22	2.04	16.33
Fragum fragum	1st	14.31	13.20	4.46	207.91
Fragum fragum	1st	9.38	8.59	3.31	53.11
Fragum fragum	1st	7.93	7.37	2.93	46.23
Fragum fragum	1st	6.61	6.00	2.31	20.31
Fragum fragum	1st	6.81	6.14	2.45	24.15
Fragum fragum	1st	15.57	13.73	5.22	230.04
Fragum fragum	1st	24.77	20.34	7.84	906.51
Ctena bella	1st	7.54	8.24	1.76	37.01
Ctena bella	1st	11.60	10.52	2.43	120.65
Ctena bella	1st	5.62	5.04	1.39	14.74
Ctena bella	1st	9.78	8.53	2.16	71.66
Ctena bella	1st	7.78	6.61	1.51	23.74
Ctena bella	1st	7.20	6.41	1.61	30.50
Ctena bella	1st	6.94	6.59	1.73	36.22
Tellina gargadia	1st	8.26	6.77	1.47	35.66
Tellina gargadia	1st	7.88	5.90	1.51	29.70
Exotica clathrata	1st	17.14	9.80	2.74	131.24
Exotica clathrata	1st	10.33	5.58	1.40	21.18
Exotica clathrata	1st	11.97	7.31	1.76	30.03
Exotica clathrata	1st	13.05	6.81	1.59	39.37
Exotica clathrata	1st	8.40	4.87	0.97	6.97
Exotica clathrata	1st	11.74	6.20	1.63	28.60
Exotica clathrata	1st	12.62	6.81	1.80	55.36
Exotica clathrata	1st	14.45	7.74	2.02	68.77
Exotica clathrata	1st	10.99	6.36	1.54	33.14
Exotica clathrata	1st	10.29	5.47	1.42	13.75
Exotica clathrata	1st	9.72	5.09	1.23	11.06
Exotica clathrata	1st	11.15	6.03	1.57	26.98
Exotica clathrata	1st	7.76	4.54	1.06	10.69
Exotica clathrata	1st	8.38	4.86	1.27	10.51
Exotica clathrata	1st	7.69	5.14	1.00	7.02
Exotica clathrata	1st	10.37	5.53	1.47	17.32
Exotica clathrata	1st	8.68	4.91	1.30	16.97
Exotica clathrata	1st	10.10	5.43	1.41	24.22
Exotica clathrata	1st	7.46	7.38	1.10	6.90
Exotica clathrata	1st	6.30	3.52	1.02	3.84
Exotica clathrata	1st	7.27	3.84	0.95	4.91
