taxonName	siteName	x_mm	y_mm	z_mm	mass_mg
Pinguitellina robusta	1st	8.28	6.61	1.81	61.18
Pinguitellina robusta	1st	6.88	5.63	1.37	26.34
Exotica clathrata	1st	8.09	4.09	1.22	13.55
Exotica clathrata	1st	7.57	3.81	1.24	13.81
Exotica clathrata	1st	7.61	3.88	1.15	11.47
Ctena bella	1st	8.01	7.20	1.78	83.66
Tellinella virgata	1st	9.09	5.52	1.21	17.37
Abranda jeanae	1st	13.04	9.14	1.77	62.48
Abranda jeanae	1st	8.14	5.66	1.17	12.19
Abranda jeanae	1st	5.28	3.36	0.85	3.55
Abranda jeanae	1st	6.11	0.00	0.00	6.81
Exotica clathrata	1st	7.79	4.08	1.19	13.88
Exotica clathrata	1st	8.06	4.33	1.18	13.63
Pinguitellina robusta	1st	8.79	7.33	2.00	69.51
Microfragum festivum	1st	5.62	5.44	1.69	40.85
Abranda jeanae	2nd	12.59	8.59	1.81	46.77
Abranda jeanae	2nd	20.87	15.07	3.25	394.50
Abranda jeanae	2nd	9.51	6.69	1.52	23.82
Abranda jeanae	2nd	0.00	0.00	0.00	0.00
Exotica clathrata	2nd	11.58	6.16	1.43	33.15
Exotica clathrata	2nd	11.29	5.81	1.41	35.48
Exotica clathrata	2nd	10.31	5.48	1.41	27.86
Exotica clathrata	2nd	10.25	5.69	1.35	28.72
Exotica clathrata	2nd	10.46	5.68	1.43	28.11
Microfragum festivum	2nd	12.30	12.00	4.46	631.60
Abranda jeanae	2nd	20.85	13.97	3.08	285.87
Abranda jeanae	2nd	19.95	13.94	2.82	305.67
Exotica clathrata	2nd	11.06	6.08	1.45	40.53
Exotica clathrata	2nd	11.76	5.98	1.58	38.07
Exotica clathrata	2nd	11.79	6.62	1.51	43.05
Exotica clathrata	2nd	7.88	4.33	1.08	10.95
Exotica clathrata	2nd	10.32	5.74	1.46	25.20
Exotica clathrata	2nd	8.17	5.09	1.15	7.03
Exotica clathrata	2nd	8.08	4.31	1.01	5.15
Exotica clathrata	2nd	12.23	6.19	1.54	23.22
Pinguitellina robusta	2nd	10.32	8.43	2.69	133.27
Pinguitellina robusta	2nd	11.19	9.29	3.14	173.71
Pinguitellina robusta	2nd	10.88	8.74	2.88	139.42
Pinguitellina robusta	2nd	9.11	7.75	2.30	89.02
Pinguitellina robusta	2nd	8.56	6.98	1.98	68.77
